date,division,inflation
1989-01-01,05,2.702158193999127
1990-01-01,05,1.8244875405963201
1991-01-01,05,4.423413580275204
1992-01-01,05,2.677818841781332
1993-01-01,05,1.3294414852004666
1994-01-01,05,1.5832154206645521
1995-01-01,05,2.7577280069824184
1996-01-01,05,1.111725125306795
1997-01-01,05,0.1363273382090524
1998-01-01,05,3.852049976715044
1999-01-01,05,1.334845385242911
2000-01-01,05,0.015229654119064406
2001-01-01,05,0.14635931211122166
2002-01-01,05,-0.5023748629886859
2003-01-01,05,-0.47737078857982285
2004-01-01,05,0.34129692832765013
2005-01-01,05,1.2961941533370158
2006-01-01,05,1.107178509846607
2007-01-01,05,1.086078448972283
2008-01-01,05,2.9746048659207824
2009-01-01,05,3.026644821936708
2010-01-01,05,0.37663207231335427
2011-01-01,05,1.8177270074209995
2012-01-01,05,1.990009008271243
2013-01-01,05,1.5818211016540795
2014-01-01,05,1.0513002924670056
2015-01-01,05,2.675219023779696
2016-01-01,05,2.3541063538016216
2017-01-01,05,2.180870859694828
2018-01-01,05,0.37878787878788955
2019-01-01,05,1.4005805515239445
2020-01-01,05,0.23616975595790457
2021-01-01,05,1.627873768385002
2022-01-01,05,3.5408177602922475
2023-01-01,05,2.273035690052927
2024-01-01,05,0.743050487626884
1981-01-01,06,8.985864071163242
1982-01-01,06,4.961305447209452
1983-01-01,06,13.62047546173577
1984-01-01,06,1.1804358701462014
1985-01-01,06,2.3244043723177565
1986-01-01,06,1.5373037071545248
1987-01-01,06,-0.2564013505354734
1988-01-01,06,1.4795438554432438
1989-01-01,06,1.6565668140823941
1990-01-01,06,2.6373790065623792
1991-01-01,06,5.3099975752678885
1992-01-01,06,3.514468445985419
1993-01-01,06,5.088307615621113
1994-01-01,06,3.394451488349981
1995-01-01,06,3.05808167027366
1996-01-01,06,3.670772088134777
1997-01-01,06,3.634415902468824
1998-01-01,06,6.1785356237336275
1999-01-01,06,3.047621077162277
2000-01-01,06,2.056526649818058
2001-01-01,06,2.908980336509215
2002-01-01,06,2.3736826553728108
2003-01-01,06,1.7510101981912385
2004-01-01,06,1.3521180030257263
2005-01-01,06,1.8751749230338621
2006-01-01,06,2.188644688644703
2007-01-01,06,1.4875884935926065
2008-01-01,06,2.233995584988957
2009-01-01,06,2.2197270685783366
2010-01-01,06,1.4110688635403434
2011-01-01,06,2.7162139643392758
2012-01-01,06,2.0279039584685243
2013-01-01,06,1.9080934965813423
2014-01-01,06,2.870962708690894
2015-01-01,06,4.428939784620067
2016-01-01,06,2.7450980392156765
2017-01-01,06,2.5586655357647814
2018-01-01,06,0.799448656099222
2019-01-01,06,0.6358539587036915
2020-01-01,06,1.1753515863849318
2021-01-01,06,0.4364759602470958
2022-01-01,06,0.7086982683693233
2023-01-01,06,2.1177720241651876
2024-01-01,06,1.7943050318554032
1981-01-01,07,7.863968241016184
1982-01-01,07,3.362467888551768
1983-01-01,07,2.429074365531836
1984-01-01,07,5.0189228636774885
